DESCRIPTION,TYPE,CATEGORY,DESCRIPTION1,SEVERITY1,DESCRIPTION2,SEVERITY2
Latex (substance),allergy,environment,Wheal (finding),MILD,,
Mold (organism),allergy,environment,Sneezing,MILD,,
House dust mite (organism),allergy,environment,,,,
Animal dander (substance),allergy,environment,Rhinoconjunctivitis (disorder),MODERATE,Eruption of skin (disorder),MILD
Grass pollen (substance),allergy,environment,,,,
Aspirin,allergy,medication,,,,
Cow's milk (substance),allergy,food,Finding of vomiting (finding),MODERATE,Allergic angioedema (disorder),MODERATE
Soya bean (substance),allergy,food,Finding of vomiting (finding),MODERATE,Diarrhea (finding),MILD
Shellfish (substance),allergy,food,Allergic angioedema (disorder),MODERATE,Eruption of skin (disorder),MODERATE
Cow's milk (substance),allergy,food,,,,
Mold (organism),allergy,environment,,,,
House dust mite (organism),allergy,environment,,,,
Animal dander (substance),allergy,environment,,,,
Shellfish (substance),allergy,food,Eruption of skin (disorder),MODERATE,Dyspnea (finding),MILD
Mold (organism),allergy,environment,Nose running,MILD,,
House dust mite (organism),allergy,environment,,,,
Animal dander (substance),allergy,environment,Rhinoconjunctivitis (disorder),MODERATE,Wheal (finding),MILD
Tree pollen (substance),allergy,environment,,,,
Aspirin,allergy,medication,Abdominal pain (finding),MODERATE,,
Cow's milk (substance),allergy,food,Diarrhea (finding),MILD,,
Aspirin,allergy,medication,,,,
Shellfish (substance),allergy,food,Allergic angioedema (disorder),MODERATE,Nausea (finding),MODERATE
cefdinir,allergy,medication,Wheal (finding),MODERATE,,
Mold (organism),allergy,environment,Allergic skin rash,MILD,,
House dust mite (organism),allergy,environment,,,,
Animal dander (substance),allergy,environment,Cough (finding),MODERATE,Wheal (finding),MILD
Grass pollen (substance),allergy,environment,,,,
Tree pollen (substance),allergy,environment,,,,
Eggs (edible) (substance),allergy,food,,,,
Wheat (substance),allergy,food,,,,
Shellfish (substance),allergy,food,Eruption of skin (disorder),MODERATE,Dyspnea (finding),MILD
Fish (substance),allergy,food,Dyspnea (finding),MODERATE,Eruption of skin (disorder),MILD
Mold (organism),allergy,environment,Wheezing,MILD,Nose running,MILD
House dust mite (organism),allergy,environment,,,,
Animal dander (substance),allergy,environment,Cough (finding),MODERATE,Rhinoconjunctivitis (disorder),MODERATE
Grass pollen (substance),allergy,environment,,,,
Shellfish (substance),allergy,food,Allergic angioedema (disorder),MODERATE,Nausea (finding),MODERATE
Fish (substance),allergy,food,Dyspnea (finding),MODERATE,Rhinoconjunctivitis (disorder),MILD
Tree nut (substance),allergy,food,Anaphylaxis (disorder),SEVERE,Cough (finding),MODERATE
Mold (organism),allergy,environment,Allergic skin rash,MILD,,
House dust mite (organism),allergy,environment,,,,
Animal dander (substance),allergy,environment,Eruption of skin (disorder),MILD,,
Grass pollen (substance),allergy,environment,,,,
Tree pollen (substance),allergy,environment,,,,
Soya bean (substance),allergy,food,Finding of vomiting (finding),MODERATE,Diarrhea (finding),MILD
Wheat (substance),allergy,food,,,,
Tree nut (substance),allergy,food,Cough (finding),MODERATE,Wheal (finding),MODERATE
Latex (substance),allergy,environment,Anaphylaxis (disorder),SEVERE,Allergic angioedema (disorder),MODERATE
Mold (organism),allergy,environment,,,,
House dust mite (organism),allergy,environment,,,,
Animal dander (substance),allergy,environment,Cough (finding),MODERATE,Rhinoconjunctivitis (disorder),MODERATE
Grass pollen (substance),allergy,environment,,,,
Eggs (edible) (substance),allergy,food,Wheal (finding),MODERATE,,
Mold (organism),allergy,environment,,,,
House dust mite (organism),allergy,environment,,,,
Animal dander (substance),allergy,environment,Wheal (finding),MILD,Eruption of skin (disorder),MILD
Grass pollen (substance),allergy,environment,,,,
Tree pollen (substance),allergy,environment,,,,
Latex (substance),allergy,environment,Wheal (finding),MILD,,
Mold (organism),allergy,environment,,,,
House dust mite (organism),allergy,environment,,,,
